張斯綱,01 北投區、士林區,中國國民黨,,男,,,"政治大學東亞所 碩士
寶杜．巴燕 Bawtu．Payen,12 山地原住民,民主進步黨,43 歲,男,新竹縣,1975-11-02,"永和網溪國小
新北市永和國中
國立臺北工專電子工程科","台灣原住民族政策協會 監事
新北市原住民族社區服務協會 理事長
新北市格鬥暨肌力體能發展協會 理事長
新北市蘆洲區體育會拳擊委員會 主任委員","教育扶助：
1.增加公立幼兒園原住民生錄取名額。
2.爭取國中小補救教學津貼，每人每月2000元。
3.提高體育發展預算，培育原住民族運動專業人才。

文化再造：
1.成立烏來原住民族文創觀光園區，推廣原住民族文化。
2.設立原住民族工藝師交流平台，推廣認證制度，發展文創產業。
3.增加原住民族各類社團活動預算。

部落自治：
1.落實原住民區部落會議，推動各區設立都會區族群議會包含興建聚會所，發揚原住民族基本法。
2.推廣並發揚原住民各族傳統歲時祭儀。
3.推動原住民族年長者送餐、共餐及落實長照服務。

提升就業：
1.輔導原住民族人培養各項工作技能。
2.爭取增設新北市果菜市場原住民族蔬果運銷及展售專區。
3.爭取二級公務機關增聘原住民族專職人員名額，提升服務效率。

還我土地：
1.廣建原住民族社會住宅，讓族人皆有房可住。
2.實踐土地正義，還給原住民族傳統領域土地。
3.推動原住民區各里正名運動，恢復傳統名稱。
完整政見，刊登於臉書網站，詳情請洽Facebook帳號：寶杜巴燕。

（資料來源／中選會選舉公報：http://ebulletin.cec.gov.tw/%E9%81%B8%E8%88%89/%E7%9B%B4%E8%BD%84%E5%B8%82%E8%AD%B0%E5%93%A1/103%E5%B9%B4/02%E6%96%B0%E5%8C%97%E5%B8%82/%E6%96%B0%E5%8C%97%E5%B8%82%E7%AC%AC1112%E9%81%B8%E8%88%89%E5%8D%80%E8%AD%B0%E5%93%A1.pdf）",,,,,,,,,,,,,,,,,,,
嚴惠美^Simoy•Sapod,11 東河鄉、綠島鄉、成功鎮、長濱鄉之平地原住民,無黨籍,,女,,,,,,,,,,,,,,,,,,,,,,,,
嚴翊琦,01 東區東門里等35里,中國國民黨,,男,,,,20全黨代表,,,,,,,,,,,,,,,,,,,,
嚴永秋,04 關西鎮,無黨籍,69 歲,男,新竹市,,育達商職畢業,"新竹縣議會第十七屆議員
新竹縣關西鎮石光社區發展協會理事長
新竹縣關西鎮石光里里長
順班股份有限公司負責人",,,,,,,,,,,,,,,,,,,,
譚國華,02 西區,中國國民黨,,男,,,,"中華國民黨17.19次全國黨代表
中華國民黨19次全國候補中央委員
嘉義市西區市議員第八，九屆參選人
台灣青年菁英協會副理事長兼秘書長
吳鳳科技大學進專學院第15屆學生會會長
中華譚氏宗親會常務理事
中國國民黨華夏三等獎章
94年全國社會傑出青年",,,,,,,,,,,,,,,,,,,,
羅聰賢,05 新埔鎮,民主進步黨,61 歲,男,,,東海高中肄業,"新竹縣豫章堂羅姓宗親會 理事長
新埔鎮調解委員
民主進步黨新竹縣評委
新埔鎮農會理事",,,,,,,,,,,,,,,,,,,,
羅維新,05 安樂區,無黨籍,,男,,,臺灣警察專科學校刑事警察科系,基隆市第四分局警員,,,,,,,,,,,,,,,,,,,,
羅貴星,02 銅鑼鄉、三義鄉、西湖鄉,民主進步黨,,男,苗栗縣,,國立勤益科技大學碩士,"三義鄉鄉民代表
三義鄉農會理事
苗栗縣三義鄉水美商圈產業發展協會理事長
台灣身心障礙服務研究發展協會理事
苗栗縣客家文化發展協會理事
苗栗縣體育總會跆拳道委員會副主任委員
三義鄉義消、義警、民防、老人會、後憲顧問
三義鄉大圳面福德祠副主任委員
三義鄉觀光文化發展協會理事長",,,,,,,,,,,,,,,,,,,,
羅智強,06 大安區、文山區,中國國民黨,48 歲,男,花蓮縣,1970-03-26,國立政治大學法學碩士,"總統府副秘書長
總統府發言人
馬英九競選辦公室副執行總幹事
中央通訊社副社長",,,,,,,,,,,,,,,,,,,,
羅章福,09 鳳山區,無黨籍,,男,,,,,,,,,,,,,,,,,,,,,,,,
羅美玲,01 南投市、名間鄉,民主進步黨,39 歲,女,新竹縣,,"靜宜大學
國立臺灣師範大學 
Providence University
馬來西亞馬六甲培風中學","行政院新住民事務協調會報委員 
台灣新住民權益關懷協會理事長 
南投縣議會議員
南投縣家庭照顧者關懷協會執行長",,,,,,,,,,,,,,,,,,,,
羅美文,02 湖口鄉,勞動黨,67 歲,男,新竹縣,,,,,,,,,,,,,,,,,,,,,,,
羅岳峰,01 桃園區,綠黨,31 歲,男,台灣,1986-10-29,,,"
          督促市府增進桃園綠遮率，並嚴格監督工業空氣及廢水之排放，使桃園成為宜居城市
","
          督促市府在移工之重視，建立友善工作環境及公共空間，促進市民對其文化之了解並進一步尊重之，使移工能與市民平等共處
","
          推動農村市集，文創活動，公益攤位，為桃園商圈帶入新氣象
","
          督促市府優先保存在地文化資產，完備文化空間，促進產業轉型，使藝文人才回流，深耕耕在地
","
          推動議會透明化，設置網路直播及鬆綁議會旁聽規則，鼓勵人民參與及了解
",,,,,,,,,,,,,,,
羅廷瑋,11 東區、南區,中國國民黨,28 歲,男,臺北市,,"中興大學國家政策與公共事務
碩士生","工學里里長
陳天汶議員助理",,,,,,,,,,,,,,,,,,,,
羅名材Halu．Lihang,05 花蓮市、新城鄉、秀林鄉、吉安鄉之平地原住民,中國國民黨,,男,,,,商，20全黨代表,,,,,,,,,,,,,,,,,,,,
羅永珍,05 神岡區、大雅區、潭子區,中國國民黨,66 歲,女,,,國小畢業,"兩屆神岡鄉豐洲村村長
兩屆臺中縣議員
一屆神岡鄉鄉長
臺中市第一、二屆市議員
現任中國國民黨神岡區黨部主任委員
現任臺中市環保志工中隊長",,,,,,,,,,,,,,,,,,,,
羅平道,05 崁頂鄉、林邊鄉、南州鄉、佳冬鄉,民主進步黨,51 歲,男,,,,,,,,,,,,,,,,,,,,,,,,
羅仕琦,04 關西鎮,中國國民黨,,男,新竹市,,,關西鎮錦山里長,,,,,,,,,,,,,,,,,,,,
羅文熾,01 東區東門里等35里,無黨籍,64 歲,男,,,,,,,,,,,,,,,,,,,,,,,,
羅文崇,06 永和區,民主進步黨,54 歲,男,臺北市,1964-07-08,"永和國小
永和國中　
臺北市商
臺北商業技術學院專科部","國立政治大學ＥＭＢＡ　
新北市家長聯盟副理事長　
秀朗國小家長會長
永和國中家長會副會長　
南山中學家長會常務委員　
新北市游泳委員會顧問　
永平義消顧問　
永和青商會　
永和獅子會
兩屆永和市黨部執行委員
兩屆台北縣黨部評議委員召集人
兩屆中央黨部中執委","一 以文創永和精神，提昇永和的在地價值，讓永和人更感榮耀。
二 爭取新北市府藝文產業相關經費，定期舉辦文創園遊會，藝文生活展覽等活動；發展永和獨特性美學附加價值產品，創造地方性就業機會。
三 針對十二年國教制度的修正與制定，整合共識，主張取消志願序扣分；落實教改精神，減輕學生壓力，替家長發聲，為學生權益把關。
四 修正永和國中與福和國中現行以身分證字號尾數單、雙號的入學制度。主張在同一家庭有兩位以上學童，兄姐於就學期間內，其弟妹可選擇與兄姐同校，減少家長及學童的困擾。
五 爭取增設永和區Ｕ─ＢＩＫＥ腳踏車，在捷運站、夜市、公園等地設立租借系統，串連區域自行車道網絡，方便居民、遊客交通。
六 透過公辦都更協助整合地主意見，加速都市更新的推動，提供更多的公共設施及綠地。
七 推動捷運萬大線分段施作，縮短工程時間；督促捷運環狀線中和路段儘早完工啟用，完善雙和整體都市捷運網。
八 擴大公共托老服務，增設銀髮俱樂部及日間照顧中心；增加公立幼兒園名額，並爭取幼兒津貼。

（資料來源／中選會選舉公報：http://ebulletin.cec.gov.tw/%E9%81%B8%E8%88%89/%E7%9B%B4%E8%BD%84%E5%B8%82%E8%AD%B0%E5%93%A1/103%E5%B9%B4/02%E6%96%B0%E5%8C%97%E5%B8%82/%E6%96%B0%E5%8C%97%E5%B8%82%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80%E8%AD%B0%E5%93%A1.pdf）",,,,,,,,,,,,,,,,,,,
羅中隆,10 龍潭區,無黨籍,,男,,,,,,,,,,,,,,,,,,,,,,,,
羅士洋,06 中埔鄉、竹崎鄉、番路鄉、大埔鄉、阿里山鄉,民主進步黨,59 歲,男,,,大同技術學院,嘉義縣議會議員,,,,,,,,,,,,,,,,,,,,
魏嘉彥,01 花蓮市,中國國民黨,40 歲,男,花蓮縣,,,花蓮市民代表,,,,,,,,,,,,,,,,,,,,
魏筠,10 龍潭區,民主進步黨,38 歲,女,桃園市,,"武陵高中畢業
東吳大學法律系畢業
中央大學法律與政府研究所碩士生","板橋地方法院檢察署書記官
新竹地方法院檢察署書記官
立法委員張慶惠國會辦公室助理
桃園市政府便民服務中心副主任
桃園市非營利組織發展中心主任","
          規劃石門、三林自行車步道，連結到市區、大池、龍元宮商圈，爭取沿線UBIKE站，聯合大眾運輸系統，規劃城市漫遊套裝路線，引入青年旅舍，吸引背包客人潮。推動傳統產業升級，促進活魚餐廳生意，引進觀光工廠，鞏固交通及產業能力，營造友善青年返鄉就業的環境，實現居住正義。
","
          地下室即停車場，樓面以上規劃成:公托中心、親子館、媽媽教室、瑜珈教室、健身房等室內運動空間…並在周邊打造特色共融公園，使育兒家庭、室內運動愛好者有良好去處。亦改善市中心停車不易的問題。
","
          整合大眾運輸，增闢國道公車龍潭連接桃園高鐵站與機場的大眾運輸班次及路線。改善橋下照明，規劃良好動線。舉辦更多籃球全場活動，橋下全面實施WIFI，營造更好的橋下兒童公園。
","
          禁發水源地工廠執照，持續對排放廢水工廠、大池淨化工程監督。
","
          用水不便地區設置自來水加壓水站，拒作用水不便的二等公民，檢討目前所有排水系統管道改善排水系統。
","
          加強小學地方特色課程連結家鄉特色。鼓勵各級學校發展體育班、美術班、音樂班等教學特色，達到三級銜接，避免人才外流。
","
          檢討龍潭擴大都市計畫、石門都市計畫，檢討蒐集地方意見。
","
          培育居家服務人力，提升社區內部的服務與互助能量。引進青年志工，完整社區力量。

取自魏筠候選人臉書
",,,,,,,,,,,,
魏長源,03 白沙鄉,無黨籍,67 歲,男,,,省立東水職校製造科畢業,"第15.16.17.18屆議員
白沙鄉第12.13屆鄉長
澎湖區漁會白沙.西嶼鄉辦事處主任
澎湖縣團管部白沙鄉後備軍人輔導中心主任",,,,,,,,,,,,,,,,,,,,
魏佩瑩,07 南屯區,無黨籍,,女,,,,,"
          自然遊戲，共作公園
（取自歐巴桑聯盟官網）
      ","
          多元親職支持系統
（取自歐巴桑聯盟官網）
      ",,,,,,,,,,,,,,,,,,
顏嘉弘,01 馬公市,無黨籍,44 歲,男,,,,,,,,,,,,,,,,,,,,,,,,
